num_poste,nom_usuel,lat,lon,alti,aaaammjj,dhumec,qdhumec,pmerm,qpmerm,pmermin,qpmermin,inst,qinst,glot,qglot,dift,qdift,dirt,qdirt,infrart,qinfrart,uv,quv,uv_indicex,quv_indicex,sigma,qsigma,un,qun,hun,qhun,ux,qux,hux,qhux,um,qum,dhumi40,qdhumi40,dhumi80,qdhumi80,tsvm,qtsvm,etpmon,qetpmon,etpgrille,qetpgrille,ecoulementm,qecoulementm,hneigef,qhneigef,neigetotx,qneigetotx,neigetot06,qneigetot06,neig,qneig,brou,qbrou,orag,qorag,gresil,qgresil,grele,qgrele,rosee,qrosee,verglas,qverglas,solneige,qsolneige,gelee,qgelee,fumee,qfumee,brume,qbrume,eclair,qeclair,nb300,qnb300,ba300,qba300,tmermin,qtmermin,tmermax,qtmermax
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250131,,,,,,,,,1836,9,,,,,,,,,,,,,59,1,1154,9,91,1,2124,9,72,1,0,9,210,9,23.7,1,4.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250128,,,,,,,,,2034,9,,,,,,,,,,,,,66,1,1230,9,95,1,430,9,83,1,0,9,882,9,27.5,1,4.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250208,,,1015.4,1,1013.4,1,375,9,1656,9,,,,,,,,,,,55,9,60,1,1349,9,98,1,625,9,80,1,0,9,728,9,25.1,9,3.8,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250207,,,1015.2,1,1013.6,1,306,9,1632,9,,,,,,,,,,,45,9,59,1,1208,9,94,1,723,9,80,1,0,9,846,9,25.2,9,4.2,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250209,,,1016.2,1,1014.4,1,368,9,1725,9,,,,,,,,,,,54,9,58,1,1302,9,98,1,609,9,77,1,0,9,585,9,24.5,9,4.2,9,,,,,,,,,,,0,9,0,9,,,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250209,,,,,,,,,2133,9,,,,,,,,,,,,,56,1,1242,9,90,1,424,9,75,1,0,9,558,9,25,9,5.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250210,,,1017,1,1015.3,1,450,9,1762,9,,,,,,,,,,,66,9,56,1,1045,9,92,1,123,9,75,1,0,9,557,9,23.6,9,4.9,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250211,,,1016.1,1,1014.4,1,459,9,1840,9,,,,,,,,,,,67,9,52,1,1352,9,93,1,53,9,73,1,0,9,550,9,22.4,9,4.6,9,,,,,,,,,,,0,9,0,9,,,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250212,,,1016.9,1,1014.9,1,406,9,1697,9,,,,,,,,,,,59,9,53,1,1039,9,93,1,500,9,77,1,0,9,648,9,24.5,9,4.8,9,,,,,,,,,,,0,9,0,9,,,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250207,,,,,,,,,1872,9,,,,,,,,,,,,,64,1,1418,9,92,1,824,9,80,1,0,9,792,9,25.2,1,4.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250204,,,,,,,,,2208,9,,,,,,,,,,,,,54,1,1342,9,94,1,600,9,77,1,0,9,732,9,24.3,1,4.8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250208,,,,,,,,,1990,9,,,,,,,,,,,,,61,1,1330,9,94,1,430,9,79,1,0,9,738,9,25.5,1,4.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250203,,,,,,,,,1698,9,,,,,,,,,,,,,65,1,1330,9,89,1,2354,9,77,1,0,9,462,9,25.5,1,4.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250213,,,1018.6,1,1016.8,1,471,9,2051,9,,,,,,,,,,,68,9,42,1,1139,9,94,1,2320,9,72,1,0,9,637,9,23,9,6.1,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
