num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250121,4,1,22.5,1,2146,9,28.3,1,1052,9,25.2,1,25.4,1,5.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250122,7.4,1,22.5,1,353,9,28.4,1,1112,9,24.2,1,25.5,1,5.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250115,0,1,20.7,1,0,9,28.4,1,1300,9,24.1,1,24.6,1,7.7,1,16.8,9,19.1,9,,,,,1.1,9,,,,,,,,,,,,,6,9,130,9,1624,9,,,,,,,,
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250116,0,1,20.2,1,500,9,29.2,1,1400,9,24.4,1,24.7,1,9,1,16.5,9,18.7,9,,,,,0.9,9,,,,,,,,,,,,,6,9,90,9,1630,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250123,5.2,1,22.3,1,708,9,29,1,1431,9,25.1,1,25.7,1,6.7,1,18.5,9,21.2,9,0,9,3.3,1,,,8,1,90,1,1440,9,14.6,1,130,1,1059,9,,,,,,,13.5,1,,,1322,9,64,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250117,4,1,22.3,1,100,9,29.2,1,1400,9,25.6,1,25.8,1,6.9,1,17.6,9,20.5,9,,,,,1.9,9,,,,,,,,,,,,,8,9,100,9,1436,9,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250127,0.8,1,22.6,1,627,9,30.7,1,1331,9,25,1,26.7,1,8.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250126,2,1,22.4,1,458,9,29,1,1049,9,24.8,1,25.7,1,6.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250127,1.6,1,22.1,1,22,9,30.1,1,1408,9,25.3,1,26.1,1,8,1,17.3,9,20.2,9,0,9,3.6,1,,,8,1,100,1,1628,9,12.5,1,110,1,1659,9,,,,,,,11.5,1,,,1651,9,66,9
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250126,3.4,1,22.1,1,356,9,29.8,1,1050,9,25.4,1,26,1,7.7,1,17.8,9,20.8,9,0,9,3.9,1,,,8.1,1,110,1,942,9,13.4,1,80,1,1250,9,,,,,,,12.6,1,,,1250,9,63,9
97119008,97119008,"PETIT-CANAL GODET-INRAE",16.405,-61.481667,35,20250119,0,1,25,1,500,9,28.8,1,1200,9,26.6,1,26.9,1,3.8,1,21,9,22.5,9,,,,,3.1,9,,,,,,,,,,,,,9,9,130,9,1600,9,,,,,,,,
97101015,97101015,"LE RAIZET AERO",16.264,-61.516333,11,20250128,0.8,1,23.3,1,134,9,30.3,1,1351,9,26.2,1,26.8,1,7,1,19.5,9,22.1,9,0,9,3.3,1,,,6.9,1,120,1,1150,9,10.3,1,110,1,932,9,,,,,,,9.7,1,,,932,9,44,9
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250128,2.4,1,23,1,2001,9,31.7,1,1440,9,25.7,1,27.4,1,8.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97101014,97101014,"LES ABYMES CHAZEAU_SAPC",16.2875,-61.453167,95,20250129,0.2,1,23.1,1,9,9,31.3,1,1332,9,25.9,1,27.2,1,8.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
